Timings for simulation (From Order AXI to AXIS TLast):
WDO : 	0 1	63801000 ps

WDO : 	0 2	123590000 ps

WDO : 	0 3	188920000 ps

WDO : 	0 4	253950000 ps

WDO : 	0 5	302910000 ps

WDO : 	0 6	367420000 ps

WDO : 	0 7	416320000 ps

WDO : 	0 8	480450000 ps

WDO : 	0 9	529340000 ps

WDO : 	0 10	593020000 ps

WDO : 	0 11	658300000 ps

WDO : 	0 12	705090000 ps

WDO : 	0 13	770430000 ps

WDO : 	0 14	833150000 ps

WDO : 	0 15	882050000 ps

WDO : 	0 16	944250000 ps

WDO : 	1 1	79770000 ps

WDO : 	1 2	123590000 ps

WDO : 	1 3	188860000 ps

WDO : 	1 4	254140000 ps

